URN,P8MEA,Year,RankASC,RankDESC,PercentileASC,PercentileDESC
135600,0.32,2016,550,2956,0.16,0.84
134226,0.26,2016,718,2790,0.2,0.8
136656,0.37,2016,435,3072,0.12,0.88
137994,0.21,2016,852,2654,0.24,0.76
135973,0.31,2016,575,2932,0.16,0.84
133724,0.45,2016,268,3238,0.08,0.92
137685,0.35,2016,480,3028,0.14,0.86
101564,-0.05,2016,1756,1750,0.5,0.5
139319,0.1,2016,1198,2308,0.34,0.66
138609,0.29,2016,632,2876,0.18,0.82
101563,0.45,2016,268,3238,0.08,0.92
138457,0.67,2016,54,3452,0.02,0.98
140796,-1.51,2016,3178,328,0.91,0.09
136466,0.14,2016,1072,2435,0.31,0.69
136709,0.28,2016,659,2848,0.19,0.81
136545,0.14,2016,1072,2435,0.31,0.69
136467,-0.16,2016,2130,1377,0.61,0.39
136464,-0.24,2016,2353,1154,0.67,0.33
136355,0.35,2016,480,3028,0.14,0.86
137121,0.7,2016,40,3466,0.01,0.99
137379,0.3,2016,602,2905,0.17,0.83
136644,0.45,2016,268,3238,0.08,0.92
136281,-0.1,2016,1945,1562,0.55,0.45
136586,0.41,2016,345,3162,0.1,0.9
137006,0.5,2016,190,3318,0.05,0.95
130430,-2.6,2016,3448,58,0.98,0.02
136551,0.45,2016,268,3238,0.08,0.92
138114,-0.13,2016,2033,1474,0.58,0.42
136517,0.1,2016,1198,2308,0.34,0.66
136540,-0.03,2016,1694,1814,0.48,0.52
101676,0.44,2016,283,3224,0.08,0.92
132008,-1.9,2016,3338,170,0.95,0.05
101700,-1.19,2016,3101,406,0.88,0.12
101697,-1.73,2016,3277,230,0.93,0.07
141210,0.19,2016,914,2594,0.26,0.74
101811,0.24,2016,774,2734,0.22,0.78
101849,-0.34,2016,2562,945,0.73,0.27
101823,0.47,2016,236,3272,0.07,0.93
142040,0.03,2016,1456,2052,0.42,0.59
135955,0.04,2016,1420,2086,0.41,0.59
135249,0.43,2016,302,3206,0.09,0.91
139906,0.58,2016,112,3394,0.03,0.97
135311,0.42,2016,324,3184,0.09,0.91
139074,-0.08,2016,1876,1631,0.54,0.47
137754,0.12,2016,1138,2369,0.32,0.68
135654,0.08,2016,1271,2236,0.36,0.64
135968,0.18,2016,940,2567,0.27,0.73
136203,0.15,2016,1035,2472,0.3,0.71
138178,0.02,2016,1493,2014,0.43,0.57
101813,-0.17,2016,2155,1352,0.61,0.39
138221,-0.1,2016,1945,1562,0.55,0.45
101814,0.45,2016,268,3238,0.08,0.92
137772,0.03,2016,1456,2052,0.42,0.59
101821,0.28,2016,659,2848,0.19,0.81
131280,0.1,2016,1198,2308,0.34,0.66
138187,0.2,2016,882,2624,0.25,0.75
101853,-2.93,2016,3482,25,0.99,0.01
101851,-1.56,2016,3199,308,0.91,0.09
101932,-0.24,2016,2353,1154,0.67,0.33
134369,-0.02,2016,1658,1849,0.47,0.53
101939,0.33,2016,524,2984,0.15,0.85
101934,0.65,2016,68,3438,0.02,0.98
101930,0.39,2016,388,3118,0.11,0.89
137221,0.33,2016,524,2984,0.15,0.85
101941,0.41,2016,345,3162,0.1,0.9
131310,0.36,2016,459,3048,0.13,0.87
137729,0.23,2016,798,2709,0.23,0.77
101940,0.45,2016,268,3238,0.08,0.92
101943,0.1,2016,1198,2308,0.34,0.66
137546,0.42,2016,324,3184,0.09,0.91
101928,0.34,2016,498,3008,0.14,0.86
101965,-1.65,2016,3242,265,0.92,0.08
101969,-1.4,2016,3144,362,0.9,0.1
101970,-2.17,2016,3393,114,0.97,0.03
136147,-0.12,2016,2000,1507,0.57,0.43
102052,0.03,2016,1456,2052,0.42,0.59
102056,0.25,2016,746,2760,0.21,0.79
102049,-0.3,2016,2484,1022,0.71,0.29
102043,0.23,2016,798,2709,0.23,0.77
102048,0.12,2016,1138,2369,0.32,0.68
137094,-0.37,2016,2614,893,0.75,0.25
132256,-0.01,2016,1619,1888,0.46,0.54
136327,0.29,2016,632,2876,0.18,0.82
102055,0.37,2016,435,3072,0.12,0.88
102050,0.27,2016,688,2819,0.2,0.8
136157,-0.17,2016,2155,1352,0.61,0.39
134311,0.1,2016,1198,2308,0.34,0.66
135958,-0.04,2016,1726,1782,0.49,0.51
102053,0.66,2016,60,3447,0.02,0.98
102058,0.19,2016,914,2594,0.26,0.74
102047,0.16,2016,1002,2506,0.29,0.71
102045,-0.09,2016,1912,1594,0.55,0.45
102067,-2.55,2016,3442,66,0.98,0.02
137531,0.43,2016,302,3206,0.09,0.91
102156,0.41,2016,345,3162,0.1,0.9
102157,0.23,2016,798,2709,0.23,0.77
133386,0.32,2016,550,2956,0.16,0.84
139616,0.42,2016,324,3184,0.09,0.91
102154,0.25,2016,746,2760,0.21,0.79
102153,0.3,2016,602,2905,0.17,0.83
102155,0.25,2016,746,2760,0.21,0.79
131757,0.23,2016,798,2709,0.23,0.77
140968,-1.71,2016,3268,238,0.93,0.07
137745,0.49,2016,202,3304,0.06,0.94
102175,-1.26,2016,3112,396,0.89,0.11
137178,0.7,2016,40,3466,0.01,0.99
137199,0.47,2016,236,3272,0.07,0.93
137177,0.08,2016,1271,2236,0.36,0.64
137204,0.42,2016,324,3184,0.09,0.91
137028,0.35,2016,480,3028,0.14,0.86
137075,0.06,2016,1350,2156,0.39,0.61
137198,0.02,2016,1493,2014,0.43,0.57
102243,0.48,2016,217,3290,0.06,0.94
138458,0.14,2016,1072,2435,0.31,0.69
102239,0.63,2016,79,3428,0.02,0.98
102260,-2.1,2016,3380,126,0.96,0.04
136663,-0.27,2016,2410,1097,0.69,0.31
137189,-0.59,2016,2892,614,0.82,0.18
139307,-0.47,2016,2766,740,0.79,0.21
136576,-0.08,2016,1876,1631,0.54,0.47
137040,0.07,2016,1306,2201,0.37,0.63
140300,-0.16,2016,2130,1377,0.61,0.39
136600,0.1,2016,1198,2308,0.34,0.66
136090,-0.21,2016,2269,1238,0.65,0.35
137414,-0.47,2016,2766,740,0.79,0.21
138326,-0.1,2016,1945,1562,0.55,0.45
102344,-0.35,2016,2582,926,0.74,0.26
137197,-0.01,2016,1619,1888,0.46,0.54
102345,-0.08,2016,1876,1631,0.54,0.47
137396,0.43,2016,302,3206,0.09,0.91
102343,-0.42,2016,2696,811,0.77,0.23
137233,0.43,2016,302,3206,0.09,0.91
137145,-0.08,2016,1876,1631,0.54,0.47
102341,-0.14,2016,2070,1437,0.59,0.41
102449,-0.13,2016,2033,1474,0.58,0.42
137844,-0.01,2016,1619,1888,0.46,0.54
